| Oferta od   | Marka pojazdu   | Model pojazdu   | Generacja      |   Rok produkcji |   Przebieg |   Pojemność skokowa | Rodzaj paliwa   |   Moc | Skrzynia biegów   |   Liczba drzwi | Kolor      | Rodzaj koloru   | Data pierwszej rejestracji w historii pojazdu   | Zarejestrowany w Polsce   | Pierwszy właściciel (od nowości)   | Bezwypadkowy   | Serwisowany w ASO   | Stan    | title                                               | url                                                                                                                                    |   price |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2016 |      95549 |                8983 | Benzyna         |    90 | Manualna          |              5 | Bordowy    | Metalik         | 27 styczeń 2017                                 | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio 0.9 Energy TCe Limited                 | https://www.otomoto.pl/osobowe/oferta/renault-clio-0-9-90km-limited-krajowy-iwlasciciel-2016-2017-ID6FJaCQ.html                        |   39900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2017 |      62000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czarny     | nan             | 23 listopad 2017                                | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio (Energy) TCe 90 Start & Stop LIMITED   | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-iv-0-9-2017r-steel-edycja-limitowana-ID6FPSxv.html                     |   39900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2017 |      68382 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czerwony   | Metalik         | 14 grudzień 2017                                | Tak                       | nan                                | nan            | Tak                 | Używane | Renault Clio 0.9 Energy TCe Limited                 | https://www.otomoto.pl/osobowe/oferta/renault-clio-0-9-tce-90-km-limited-navi-salon-pl-ID6Ftfew.html                                   |   39900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2017 |      50255 |               11493 | Benzyna         |    73 | Manualna          |              5 | Czerwony   | nan             | 07 wrzesień 2017                                | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio 1.2 16V Limited                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-1-2-16v-75km-1wl-salon-pl-czujniki-limited-dealer-renault-adamowscy-ID6FU0Vt.html   |   39900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2020 |      90000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Srebrny    | Metalik         | nan                                             | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio 0.9 Energy TCe Limited                 | https://www.otomoto.pl/osobowe/oferta/renault-clio-salon-polska-1-wlasciciel-limited-ID6FTMgx.html                                     |   39800 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2019 |      38861 |                8983 | Benzyna         |    90 | Manualna          |              5 | Srebrny    | nan             | 24 lipiec 2019                                  | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-zarejestrowany-ID6FRTHa.html                                                        |   39500 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2018 |      81500 |                8983 | Benzyna         |    90 | Manualna          |              5 | Bordowy    | nan             | 08 sierpień 2019                                | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Limited 2018            | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-grandtour-2018-ID6FU03w.html                                           |   39500 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2019 |      87000 |                8983 | Benzyna         |    76 | Manualna          |              5 | Czarny     | Metalik         | 26 kwiecień 2019                                | Tak                       | nan                                | Tak            | Tak                 | Używane | Renault Clio 0.9 TCe Limited                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-clio-0-9-tce-limited-climatronic-ID6FJqJU.html                                      |   39500 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2017 |      55141 |                8983 | Benzyna         |    90 | Manualna          |              5 | Biały      | nan             | 04 maj 2017                                     | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-0-9-tce-salon-polska-1-wlasciciel-serwis-aso-vat-23-klima-ID6FQPmb.html             |   39000 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2016 |      78890 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czerwony   | Metalik         | 10 maj 2016                                     | Tak                       | nan                                | Tak            | Tak                 | Używane | Renault Clio 0.9 Energy TCe Alize EU6               | https://www.otomoto.pl/osobowe/oferta/renault-clio-drugi-wlasciciel-ID6FU2kx.html                                                      |   39000 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2018 |      41000 |                8983 | Benzyna         |    76 | Manualna          |              5 | Biały      | nan             | nan                                             | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 TCe Life                           | https://www.otomoto.pl/osobowe/oferta/renault-clio-benzyna-41-tys-km-klima-led-tempomat-komputer-wzorowy-stan-ID6FMb0Y.html            |   38900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2020 |      41000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Srebrny    | nan             | 04 marzec 2020                                  | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Limited                 | https://www.otomoto.pl/osobowe/oferta/renault-clio-4-41-tys-przebiegu-ID6FP24m.html                                                    |   38900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2019 |      56300 |                8983 | Benzyna         |    90 | Manualna          |              5 | Szary      | nan             | 26 listopad 2019                                | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Limited                 | https://www.otomoto.pl/osobowe/oferta/renault-clio-wersja-limited-grzane-fotele-r-link-android-auto-ID6FP9c9.html                      |   38900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2018 |      98000 |               12003 | Benzyna         |    73 | Manualna          |              5 | Czarny     | nan             | nan                                             | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-f-vat-salon-polska-gwarancja-i-wlasciciel-hbh-benzyna-ID6FHH9j.html                 |   38900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2016 |      50000 |               11493 | Benzyna         |    75 | Manualna          |              5 | Czerwony   | nan             | 31 styczeń 2017                                 | Tak                       | nan                                | Tak            | Tak                 | Używane | Renault Clio 1.2 16V Alize EU6                      | https://www.otomoto.pl/osobowe/oferta/renault-clio-1-2-16v-75km-1wl-salon-pl-czujniki-klima-dealer-renault-adamowscy-ID6FT9x4.html     |   38900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      71121 |               11493 | Benzyna         |    73 | Manualna          |              5 | Srebrny    | Perłowy         | 09 grudzień 2015                                | Tak                       | nan                                | Tak            | nan                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-kombi-1-2-grandtour-limited-ID6FRpRd.html                              |   38600 |
| Prywatne    | Renault         | Clio            | V (2019-)      |            2019 |      34000 |                8983 | Benzyna         |    76 | Manualna          |              5 | Biały      | Metalik         | nan                                             | Tak                       | nan                                | Tak            | nan                 | Używane | Renault Clio 0.9 TCe Limited                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-0-9-benzyna-2019-r-ID6FEgEm.html                                       |   38500 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2017 |      96000 |               11493 | Benzyna         |    73 | Manualna          |              5 | Czerwony   | Metalik         | 09 czerwiec 2017                                | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio 1.2 16V Limited                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-clio-iv-limited-1-2-16v-salon-pierwszy-wlasciciel-bezwypadkowy-ID6FQzin.html        |   38500 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2016 |      72104 |                8983 | Benzyna         |    90 | Manualna          |              5 | Biały      | nan             | 30 listopad 2016                                | Tak                       | nan                                | Tak            | Tak                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-0-9-tce-alize-salon-polska-serwis-aso-navi-klima-tempomat-ID6FR06o.html             |   38000 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2019 |      85803 |                8983 | Benzyna         |    76 | Manualna          |              5 | Biały      | nan             | 19 luty 2019                                    | Tak                       | Tak                                | nan            | Tak                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-0-9-tce-salon-polska-1-wlasciciel-serwis-aso-klima-tempomat-ID6FT1iG.html           |   38000 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2016 |      90591 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czerwony   | nan             | 21 kwiecień 2016                                | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-0-9-tce-navi-klima-tempomat-ID6FQxga.html                                           |   38000 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2018 |      39000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Inny kolor | Metalik         | 27 grudzień 2018                                | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 TCe Life                           | https://www.otomoto.pl/osobowe/oferta/renault-clio-0-9-benzynatabletpdcelektrykagwarancja-w-cenie-ID6FwdtV.html                        |   37900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2017 |      47648 |                8983 | Benzyna         |    90 | Manualna          |              5 | Szary      | Metalik         | 12 luty 2018                                    | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio (Energy) TCe 90 Start & Stop LIMITED   | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-0-9-benzyna-90-km-ID6FSCRQ.html                                        |   37900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2017 |      66300 |               11493 | Benzyna         |    73 | Manualna          |              5 | Szary      | nan             | 11 lipiec 2017                                  | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 1.2 16V 75 LIMITED                     | https://www.otomoto.pl/osobowe/oferta/renault-clio-clio-1-2-lodz-ID6FReqg.html                                                         |   37900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2017 |      44500 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czarny     | nan             | 23 marzec 2017                                  | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio Grandtour (Energy) TCe 90 Bose Edition | https://www.otomoto.pl/osobowe/oferta/renault-clio-gwarancja-zamiana-ID6FS7fI.html                                                     |   37900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2018 |      74400 |               11493 | Benzyna         |    73 | Manualna          |              5 | Biały      | Matowy          | nan                                             | nan                       | nan                                | nan            | Tak                 | Używane | Renault Clio 1.2 16V Life                           | https://www.otomoto.pl/osobowe/oferta/renault-clio-polecam-ID6FLdjb.html                                                               |   37900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2015 |      94400 |               11493 | Benzyna         |    75 | Manualna          |              5 | Biały      | nan             | 07 styczeń 2016                                 | Tak                       | nan                                | Tak            | Tak                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-1-2-benzyna-75-km-salon-polska-gwarancja-ID6FT9jn.html                              |   37900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      39111 |                8983 | Benzyna         |    90 | Manualna          |              5 | Szary      | Metalik         | listopad 2015                                   | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio 0.9 TCe Limited                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-sprzedam-renault-clio-iv-polski-salon-stan-idealny-niski-przebieg-ID6FMrPn.html     |   37900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2016 |      50582 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czerwony   | nan             | styczeń 2016                                    | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Alize                   | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-2016-ID6FRDAd.html                                                     |   37500 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2017 |      40289 |               11493 | Benzyna         |    75 | Manualna          |              5 | Biały      | nan             | nan                                             | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 1.2 16V Business                       | https://www.otomoto.pl/osobowe/oferta/renault-clio-1-2-benzyna-klimatyzacja-elektryczne-szyby-alufelgi-piekne-ID6FTAgW.html            |   36990 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2015 |      52000 |               11493 | Benzyna         |    75 | Manualna          |              5 | Bordowy    | Perłowy         | 08 październik 2015                             | nan                       | nan                                | nan            | Tak                 | Używane | Renault Clio 1.2 16V Limited EU6                    | https://www.otomoto.pl/osobowe/oferta/renault-clio-1-2-benzyna-52-tys-km-limited-klima-alufelgi-ledy-navi-piekny-ID6FpwQI.html         |   36900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2017 |      60000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czarny     | Perłowy         | nan                                             | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Limited                 | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-iv-lift-limited-ID6FRNuT.html                                          |   36900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2017 |      96200 |               11493 | Benzyna         |    73 | Manualna          |              5 | Szary      | Metalik         | 27 luty 2017                                    | Tak                       | Tak                                | Tak            | nan                 | Używane | Renault Clio 1.2 16V Alize                          | https://www.otomoto.pl/osobowe/oferta/renault-clio-clio-1-2-16v-alize-ID6FTfSx.html                                                    |   36900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2018 |      55000 |                8983 | Benzyna         |    76 | Manualna          |              5 | Biały      | nan             | nan                                             | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 TCe Limited                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-lift-limited-ID6FMJqK.html                                                          |   36900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2016 |      35000 |               11493 | Benzyna         |    73 | Manualna          |              5 | Biały      | nan             | maj 2016                                        | nan                       | Tak                                | nan            | nan                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-1-2-benzyna-navi-tablet-2016-ID6FQ2gb.html                                          |   36600 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      98000 |               11973 | Benzyna         |   120 | Automatyczna      |              5 | Biały      | nan             | sierpień 2015                                   | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio Grandtour Energy TCe 120 EDC GT        | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-gt-ID6FTRph.html                                                       |   36500 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2018 |      65895 |                8983 | Benzyna         |    76 | Manualna          |              5 | Biały      | nan             | 29 styczeń 2019                                 | Tak                       | Tak                                | Tak            | Tak                 | Używane | Renault Clio 0.9 TCe Life                           | https://www.otomoto.pl/osobowe/oferta/renault-clio-pierwszy-wlasciciel-garazowany-w-b-dobrym-stanie-ID6FTIkU.html                      |   36000 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2015 |      91000 |               11493 | Benzyna         |    73 | Manualna          |              5 | Biały      | nan             | nan                                             | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio 1.2 16V Dynamique                      | https://www.otomoto.pl/osobowe/oferta/renault-clio-1-2-16v-klima-navi-ID6FHXeO.html                                                    |   35900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2016 |      86000 |               11493 | Benzyna         |    73 | Manualna          |              5 | Czerwony   | Perłowy         | 02 maj 2013                                     | nan                       | nan                                | Tak            | Tak                 | Używane | Renault Clio 1.2 16V 75 LIMITED                     | https://www.otomoto.pl/osobowe/oferta/renault-clio-oryginalny-lakier-ID6FQVZB.html                                                     |   35900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2018 |      70144 |                8983 | Benzyna         |    90 | Manualna          |              5 | Inny kolor | Metalik         | 05 grudzień 2018                                | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Intens                  | https://www.otomoto.pl/osobowe/oferta/renault-clio-benzyna-klimatyzacja-tablet-tempomat-sliczne-ID6FShhx.html                          |   35900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2016 |      51900 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czerwony   | Perłowy         | 12 grudzień 1990                                | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Dynamique               | https://www.otomoto.pl/osobowe/oferta/renault-clio-2016-r-benzyna-90-km-zadbany-30-zdjec-ID6FSUCh.html                                 |   35900 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2016 |      85000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Beżowy     | Metalik         | nan                                             | Tak                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Limited                 | https://www.otomoto.pl/osobowe/oferta/renault-clio-0-9-energy-tce-limited-ID6FRqSw.html                                                |   35900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2020 |      36000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Biały      | nan             | 16 czerwiec 2020                                | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 Energy TCe Limited                 | https://www.otomoto.pl/osobowe/oferta/renault-clio-super-stan-limitowana-wersja-jak-nowe-ID6FQ6q7.html                                 |   35900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      98000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czarny     | Metalik         | 09 kwiecień 2015                                | Tak                       | nan                                | Tak            | nan                 | Używane | Renault Clio 0.9 TCe Techno Feel                    | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-0-9-tce-techno-feel-ID6FSBPR.html                                      |   35900 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2016 |      48000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Czarny     | Perłowy         | 18 luty 2016                                    | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio (Energy) TCe 90 Start & Stop LIMITED   | https://www.otomoto.pl/osobowe/oferta/renault-clio-renault-clio-tce-0-9-limited-ID6FSB7J.html                                          |   35600 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2015 |      70883 |                8983 | Benzyna         |    90 | Manualna          |              5 | Szary      | Metalik         | 20 listopad 2015                                | Tak                       | nan                                | nan            | Tak                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-krajowy-oryginalny-przebieg-zarejestrowany-ubezpieczony-ID6FU3yE.html               |   35599 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2016 |      80800 |               11493 | Benzyna         |    73 | Manualna          |              5 | Biały      | nan             | nan                                             | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 1.2 16V Limited                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-doskonale-100-bezwypadkowy-ID6FP6Tu.html                                            |   35500 |
| Firma       | Renault         | Clio            | IV (2012-2018) |            2015 |      76000 |               11973 | Benzyna         |   120 | Automatyczna      |              5 | Brązowy    | Metalik         | nan                                             | Tak                       | nan                                | nan            | Tak                 | Używane | Renault Clio                                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-automat-serwis-nawigacja-ID6FR4Ro.html                                              |   35500 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2016 |      80800 |               11493 | Benzyna         |    73 | Manualna          |              5 | Biały      | nan             | nan                                             | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 1.2 16V Limited                        | https://www.otomoto.pl/osobowe/oferta/renault-clio-doskonale-100-bezwypadkowy-ID6FP6Tu.html                                            |   35500 |
| Prywatne    | Renault         | Clio            | IV (2012-2018) |            2018 |      64000 |                8983 | Benzyna         |    90 | Manualna          |              5 | Szary      | nan             | 18 grudzień 2018                                | nan                       | nan                                | nan            | nan                 | Używane | Renault Clio 0.9 TCe Life                           | https://www.otomoto.pl/osobowe/oferta/renault-clio-sprzedam-ID6FU18Y.html                                                              |   35500 |
