Oferta od	Pokaz oferty z numerem VIN	Marka pojazdu	Model pojazdu	Rok produkcji	Przebieg	Pojemnosc skokowa	Rodzaj paliwa	Moc	Skrzynia biegow	Naped	Typ nadwozia	Liczba drzwi	Liczba miejsc	Kolor	Mozliwosc finansowania	Kraj pochodzenia	Bezwypadkowy	Serwisowany w ASO	Stan	Oblicz	url	cena	description	wyposazenie	dealer	loc	tytul
Prywatne	Tak	Volkswagen	Beetle	2012	24000	24803	Benzyna+LPG	170	Automatyczna	Na przednie kola	Coupe	2	4	Zolty		Stany Zjednoczone			Uzywane	VIN	https://www.otomoto.pl/osobowe/oferta/volkswagen-beetle-okazja-maly-przebieg-atrakcyjny-wyglad-wnetrze-jak-nowy-ID6FQlDL.html	35800	Dodatkowy komplet opon zimowych , stan bdb , atrakcyjny wyglad, po wymianie wszystkich  filtrow , olei lacznie ze skrzynia biegow-   udokumentowany , umowa sprzedazy	['Interfejs Bluetooth', 'Radio', 'Gniazdo USB', 'Klimatyzacja automatyczna', 'Tapicerka skorzana', 'Podgrzewany fotel kierowcy', 'Podgrzewany fotel pasazera', 'Kierownica skorzana', 'Keyless Go', 'Elektryczne szyby przednie', 'Tempomat', 'Lusterka boczne ustawiane elektrycznie', 'Podgrzewane lusterka boczne', 'Kontrola trakcji', 'Swiatla do jazdy dziennej', 'Elektroniczna kontrola cisnienia w oponach', 'Wspomaganie kierownicy', 'ABS', 'ESP', 'Elektroniczny system rozdzialu sily hamowania', 'System wspomagania hamowania', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera', 'Kurtyny powietrzne - przod', 'Boczna poduszka powietrzna kierowcy', 'Boczne poduszki powietrzne - przod', 'Isofix (punkty mocowania fotelika dzieciecego)']	['roman', 'Osoba prywatna', 'Bardzo sprawnie odpowiada', 'Sprzedajacy na OTOMOTO od 2014']	Skorzewo, poznanski, Wielkopolskie	Volkswagen Beetle 2.5
Prywatne	Tak	Volkswagen	Beetle	2012	104000	19843	Benzyna	200	Automatyczna		Kompakt	3	5	Zloty					Uzywane	VIN	https://www.otomoto.pl/osobowe/oferta/volkswagen-beetle-vw-beetle-maly-przebieg-230km-ID6FOEl0.html	38000	WitamPosiadam na sprzedaz samochod, jakim jest VW Beetle. Rok produkcji 2012, przebieg 104tys km. Wersja z najmocniejszym silnikiem 2.0 turbo, seryjnie 200 KM. Zostala zmieniona moc i obecnie generuje ok. 230 koni, co daje fajna radosc z jazdy.W ostatnim czasie zostal zmieniony olej, klocki i wszystkie filtry. Auto dobrze trzyma sie drogi jest sztywne a zawieszenie nie wybite, nic nie stuka. Wnetrze zadbane, w srodku nie bylo palone, wszystko jest na swoim miejscu i tak jak byc powinno. Vw posiada podgrzewane fotele, tempomat, multifunkcyjna kierownice, czujniki parkowania i pare innych bajerow.Zapraszam tylko powaznie zainteresowane osoby. Pozdrawiam	['Interfejs Bluetooth', 'Radio', 'Zestaw glosnomowiacy', 'System nawigacji satelitarnej', 'System naglosnienia', 'Ekran dotykowy', 'Klimatyzacja automatyczna, dwustrefowa', 'Tapicerka materialowa', 'Podgrzewany fotel kierowcy', 'Podgrzewany fotel pasazera', 'Podlokietniki - przod', 'Kierownica skorzana', 'Kierownica ze sterowaniem radia', 'Czujnik deszczu', 'Czujnik zmierzchu', 'Swiatla do jazdy dziennej diodowe LED', 'Elektroniczna kontrola cisnienia w oponach', 'Wspomaganie kierownicy', 'Felgi aluminiowe 17', 'Opony zimowe', 'Zawieszenie komfortowe', 'ABS', 'ESP', 'System wspomagania hamowania']	['Patryk', 'Osoba prywatna', 'Sprzedajacy na OTOMOTO od 2015']	Warszawa, Wola	Volkswagen Beetle The 2.0 TSI DSG Sport
Firma	Tak	Volkswagen	Beetle	2013	170000	11973	Benzyna	105	Manualna	Na przednie kola	Coupe	3	4	Czarny		Niemcy	Tak	Tak	Uzywane	VIN	https://www.otomoto.pl/osobowe/oferta/volkswagen-beetle-1-2tsi-105km-xenon-serwis-zobacz-koniecznie-ID6FXJMi.html	38900	"Witam!     Przedmiotem  sprzedazy jest samochod osobowy VW Beetle z silnikiem 1.2TSI o mocy 105 KM! Przygotowany do rejestracji! Jest to auto sprowadzone z Niemiec, gdzie zakupilem je od pierwszego wlasciciela!  Stan techniczny i optyczny idealny! Wnetrze utrzymane bardzo ladnie, bez widocznych sladow uzytkowania! Nie wymaga wkladu finansowego.  Rok produkcji 2012. Pierwsza rejestracja 2013!WYPOSAZENIE:-LED-Xenon-8x AirBag-Dwustrefowa Klimatyzacja-Podgrzewane Fotele-El. Szyby-El. Lusterka-Alu Felgi -ABS-ESP-Radio CD-Komputer -Centralny Zamek-Komplet KluczyFirma ,, Auto Komis Eurocar "" zajmujaca sie profesjonalnie samochodami posiada w ciaglej ofercie kilkadziesiat samochodow z rynku krajowego i zagranicznego. Starajac sie sprostac Panstwa oczekiwaniom w wyborze samochodu umozliwiamy sprawdzenie kazdego auta w autoryzowanej stacji obslugi pojazdow.TEL. KONTAKTOWE DO KOMISUWyswietl numerWyswietl numer!!! Samochody sprowadzane przez nas sa BEZWYPADKOWE!!!Istnieje rowniez mozliwosc zamiany, sprzedazy ratalnej na bardzo korzystnych warunkach.Wspolpracujemy z bankami GETIN BANK oraz SANTANDER BANKWszelkie pytania tylko o kredyt prosimy kierowac pod nr.Wyswietl numerlubWyswietl numerWystawiamy fakture VAT-marza. (kupujacy zwolniony z oplaty skarbowej)!!! Sprowadzamy rowniez auta pod indywidualne zamowienie !!!Firma umozliwia zalatwienie wszelkich formalnosci zwiazanych z zakupem auta:- ubezpieczenie- kredyt- leasing* Kredyt samochodowy dla firm i osob fizycznych bez wplaty i zaswiadczen* Uproszczona procedura kredytowa* Decyzja niemal natychmiast* Kredytujemy kazdy pojazd* Okres kredytowania do 8 lat* Kredytujemy pelna wartosc pojazdu* Mozliwosc skredytowania pojazdu zakupionego od osoby fizycznej, sprowadzonego z zagranicy* Preferencyjne pakiety ubezpieczeniowe z mozliwoscia skredytowania.W przypadku samochodow nie zarejestrowanych w kraju istnieje mozliwosc wykupienia na miejscu polisy ubezpieczeniowej i powrot samochodem na ,,kolach"". Niniejsze ogloszenie jest wylacznie informacja handlowa i nie stanowi oferty w mysl art. 66, SS1. Kodeksu Cywilnego. Sprzedajacy nie odpowiada za ewentualne bledy lub nie aktualnosc ogloszenia.*************************** Z A P R A S Z A M Y *****************************"	['Radio', 'Gniazdo USB', 'Klimatyzacja automatyczna, dwustrefowa', 'Tapicerka materialowa', 'Podgrzewany fotel kierowcy', 'Podgrzewany fotel pasazera', 'Czujnik deszczu', 'Elektryczne szyby przednie', 'Wycieraczki', 'Lampy ksenonowe', 'Kontrola odleglosci z przodu (przy parkowaniu)', 'Kontrola odleglosci z tylu (przy parkowaniu)', 'Podgrzewane lusterka boczne', 'Kontrola trakcji', 'Wspomaganie ruszania pod gore- Hill Holder', 'Czujnik zmierzchu', 'Spryskiwacze reflektorow', 'Lampy doswietlajace zakret', 'Swiatla do jazdy dziennej', 'Lampy przeciwmgielne', 'Lampy tylne w technologii LED', 'Oswietlenie wnetrza LED', 'System Start/Stop', 'Wspomaganie kierownicy', 'Felgi aluminiowe 17', 'ABS', 'ESP', 'System wspomagania hamowania', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera', 'Kurtyny powietrzne - przod', 'Boczne poduszki powietrzne - przod', 'Isofix (punkty mocowania fotelika dzieciecego)']	['Auto Komis Eurocar z gwarancja GetHelp', 'Sprzedajacy profesjonalny', 'Sprzedajacy na OTOMOTO od 2006']	Malkinska 8 - 07-300 Ostrow Mazowiecka, ostrowski, Mazowieckie (Polska)	Volkswagen Beetle The 1.2 TSI Blue Motion Technologie Design
Prywatne	Tak	Volkswagen	Beetle	2012	119000	15983	Diesel	105	Manualna	Na przednie kola	Auta miejskie	3	4	Szary		Francja			Uzywane	VIN	https://www.otomoto.pl/osobowe/oferta/volkswagen-beetle-stan-bdb-niski-przebieg-ID6FwQbI.html	36000	VW Beetle 1.6 TDI /  105 KMRok: 2012Przebieg: 119000 kmSamochod nie wymaga wkladu finansowego.W zawieszeniu nic nie stuka, hamulce ok, klimatyzacja dziala.W marcu tego roku zalozony nowy akumulator.Olej z filtrem zmieniony przy przebiegu 113 500 km, filtr paliwa przy 118 500 km.Auto jezdzi na alufelgach 16 cali.Czarna podsufitka.Srodek czysty, zadbany. Z zewnatrz drobne ryski, obicia - normalne slady uzytkowania.Silnik bardzo ekonomiczny a przy tym dynamiczny.Auto w prywatnych rekach, nie jestem handlarzem.2 kluczykiSamochod w ciaglej eksploatacji.	['Radio', 'Klimatyzacja manualna', 'Tapicerka materialowa', 'Podlokietniki - przod', 'Kierownica skorzana', 'Kierownica ze sterowaniem radia', 'Kierownica wielofunkcyjna', 'Dzwignia zmiany biegow wykonczona skora', 'Czujnik deszczu', 'Elektryczne szyby przednie', 'Tempomat', 'Lusterka boczne ustawiane elektrycznie', 'Podgrzewane lusterka boczne', 'Kontrola trakcji', 'Wspomaganie ruszania pod gore- Hill Holder', 'Lampy doswietlajace zakret', 'Swiatla do jazdy dziennej', 'Lampy przeciwmgielne', 'Wspomaganie kierownicy', 'Filtr czastek stalych', 'Felgi aluminiowe 16', 'Opony letnie', 'ABS', 'ESP', 'System wspomagania hamowania', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera', 'Kurtyny powietrzne - przod', 'Boczna poduszka powietrzna kierowcy', 'Boczne poduszki powietrzne - przod', 'Isofix (punkty mocowania fotelika dzieciecego)']	['Iza', 'Osoba prywatna', 'Sprzedajacy na OTOMOTO od 2023']	Brzesko, brzeski, Malopolskie	Volkswagen Beetle The 1.6 TDI DPF
Prywatne	Tak	Volkswagen	Beetle	2013	164000	19683	Diesel	140	Automatyczna	Na przednie kola	Coupe	3	4	Szary		Stany Zjednoczone			Uzywane	VIN	https://www.otomoto.pl/osobowe/oferta/volkswagen-beetle-2-0tdi-dsg-ID6FukZg.html	44000	VW Beetle 2.0TDi 140PSSkrzynia automatyczna DSG___Sprowadzony z USA, pierwszy wlasciciel w kraju Cena brutto, wystawiamy fakture vat marzaMozliwosc finansowania zakupu, pozostawienia innego auta w rozliczeniu___Nowe opony letnie, 2 kluczyki, pelna dokumentacja...___Wyposazenie:Audio i multimediaInterfejs BluetoothRadioZestaw glosnomowiacyGniazdo USBSystem naglosnieniaEkran dotykowyKomfort i dodatkiKlimatyzacja manualnaSzyberdach szklany - przesuwny i uchylny elektryczTapicerka skorzanaPodgrzewany fotel kierowcyPodgrzewany fotel pasazeraRegul. elektr. podparcia ledzwiowego - kierowcaPodlokietniki - przodKierownica skorzanaKierownica sportowaKierownica ze sterowaniem radiaKierownica wielofunkcyjnaZmiana biegow w kierownicyDzwignia zmiany biegow wykonczona skoraKeyless GoUruchamianie silnika bez uzycia kluczykowElektryczne szyby przedniePrzyciemniane tylne szybyWycieraczkiSystemy wspomagania kierowcyTempomatLusterka boczne ustawiane elektryczniePodgrzewane lusterka boczneKontrola trakcjiWspomaganie ruszania pod gore- Hill HolderSwiatla do jazdy dziennejWspomaganie kierownicyOsiagi i tuningFelgi aluminiowe 17Opony letnieBezpieczenstwoABSESPSystem wspomagania hamowaniaPoduszka powietrzna kierowcyPoduszka powietrzna pasazeraKurtyny powietrzne - przodBoczne poduszki powietrzne - przodIsofix (punkty mocowania fotelika dzieciecego)	['Interfejs Bluetooth', 'Radio', 'Zestaw glosnomowiacy', 'Gniazdo USB', 'System naglosnienia', 'Ekran dotykowy', 'Klimatyzacja manualna', 'Szyberdach szklany - przesuwny i uchylny elektrycz', 'Tapicerka skorzana', 'Podgrzewany fotel kierowcy', 'Podgrzewany fotel pasazera', 'Regul. elektr. podparcia ledzwiowego - kierowca', 'Podlokietniki - przod', 'Kierownica skorzana', 'Kierownica sportowa', 'Kierownica ze sterowaniem radia', 'Kierownica wielofunkcyjna', 'Zmiana biegow w kierownicy', 'Dzwignia zmiany biegow wykonczona skora', 'Keyless Go', 'Uruchamianie silnika bez uzycia kluczykow', 'Elektryczne szyby przednie', 'Przyciemniane tylne szyby', 'Wycieraczki', 'Tempomat', 'Lusterka boczne ustawiane elektrycznie', 'Podgrzewane lusterka boczne', 'Kontrola trakcji', 'Wspomaganie ruszania pod gore- Hill Holder', 'Swiatla do jazdy dziennej', 'Wspomaganie kierownicy', 'Filtr czastek stalych', 'Felgi aluminiowe 17', 'Opony letnie', 'ABS', 'ESP', 'System wspomagania hamowania', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera', 'Kurtyny powietrzne - przod', 'Boczne poduszki powietrzne - przod', 'Isofix (punkty mocowania fotelika dzieciecego)']	['Marek', 'Osoba prywatna', 'Bardzo sprawnie odpowiada', 'Sprzedajacy na OTOMOTO od 2015']	Lodz, Gorna	Volkswagen Beetle The 2.0 TDI DSG DPF
Prywatne	Tak	Volkswagen	Beetle	2012	185000	19683	Diesel	140	Automatyczna	Na przednie kola	Auta miejskie	3	5	Szary			Tak	Tak	Uzywane	VIN	https://www.otomoto.pl/osobowe/oferta/volkswagen-beetle-beetle-2-0-tdi-140km-dsg-automat-czujniki-climatronic-idealny-stan-ID6FU1qY.html	45900	Volkswagen Beetle 2.0 TDI 140 KM z automatyczna skrzynia biegow DSG Samochod w stanie perfekcyjnym.  Spelni oczekiwania wymagajacego kupujacego.Technicznie jak i wizualnie samochod utrzymany w idealnym stanie. Prowadzi sie i wyglada jak nowy samochod. Wnetrze bardzo zadbane. Jest czyste i nie nosi oznak zuzycia.W samochodzie nie bylo paloneSamochod prowadzi sie bardzo dobrze i nie wymaga wkladu finansowego.Auto na biezaco serwisowane co potwierdza ksiazka serwisowa. Ostatni wpis 174 000 kmW samochodzie zostaly zalozony komplet nowych opon. Pozostale elementy eksploatacyjne takie jak tarcze klocki itp w bardzo dobrym stanie. Nic nie wymaga wymiany. Samochod bez wypadkowy Samochod posiada miedzy innymi:- Czarna podsufitke - Czujniki parkowania tylnie - Czujniki parkowania przednie- Felgi aluminiowe  - Automatyczna klimatyzacje dwu strefowa- Multimedia- Kierownice wielofunkcyjna- Czujnik deszczu- Czujnik zmierzchu- Obsluga telefonu- Lusterko fotochromatyczne i wiele innychPo wiecej informacji zachecam do kontaktu telefonicznego:Wyswietl numer- oraz zapraszam na jazde probna.Wiecej zdjec na portalu otomoto	['Interfejs Bluetooth', 'Radio', 'Zestaw glosnomowiacy', 'Gniazdo USB', 'System naglosnienia', 'Klimatyzacja automatyczna, dwustrefowa', 'Tapicerka materialowa', 'Regul. elektr. podparcia ledzwiowego - kierowca', 'Podlokietniki - przod', 'Kierownica skorzana', 'Dzwignia zmiany biegow wykonczona skora', 'Czujnik deszczu', 'Elektryczne szyby przednie', 'Elektryczne szyby tylne', 'Wycieraczki', 'Kontrola odleglosci z przodu (przy parkowaniu)', 'Kontrola odleglosci z tylu (przy parkowaniu)', 'Lusterka boczne ustawiane elektrycznie', 'Podgrzewane lusterka boczne', 'Kontrola trakcji', 'Wspomaganie ruszania pod gore- Hill Holder', 'Lampy doswietlajace zakret', 'Swiatla do jazdy dziennej', 'Lampy przeciwmgielne', 'Elektroniczna kontrola cisnienia w oponach', 'Wspomaganie kierownicy', 'Filtr czastek stalych', 'Felgi aluminiowe 16', 'ABS', 'ESP', 'System wspomagania hamowania', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera', 'Kurtyny powietrzne - przod', 'Boczne poduszki powietrzne - przod', 'Isofix (punkty mocowania fotelika dzieciecego)']	['Piotr', 'Osoba prywatna', 'Sprzedajacy na OTOMOTO od 2018']	Krakow, Zwierzyniec	Volkswagen Beetle The 2.0 TDI DSG DPF Design
Prywatne	Tak	Volkswagen	New Beetle	2013	223000	19683	Diesel	140	Manualna	Na przednie kola	Auta miejskie	3	4	Czarny			Tak		Uzywane	VIN	https://www.otomoto.pl/osobowe/oferta/volkswagen-new-beetle-vw-newbeetle-2-0-tdi-1-wszy-wlasciciel-nowy-silnik-doinwestowany-ID6FVBvx.html	34900	Vw New Beetle 2.0 TDI 140 km. W samochodzie w ostatnim czasie zmieniony zostal silnik na taki ze znikomym przebiegiem ( stary zaczal stukac). Przy okazji zmieniony zostal kompletny rozrzad wraz z filtrami i olejem. Zalozony nowy kompletny EGR wraz z nowa chlodniczka, pol roku temu kompletne zawieszenie z przodu i zaciski tylne. Auto nie wymaga wkladu finansowego. Samochod dobrze wyposazony :-Dwustrefowa klimatyzacja -Tempomat -Oryginalne, dotykowe,  radio VW z systemem glosnomowiacym i mozliwoscia odtwarzania muzyki przez Bluetooth-Wykonczeniem wnetrza Piano black w dobrym stanie -Swiatla do jazdy dziennej -Szyberdach elektryczny -Trojramienna scieta kierownica-Doswietlanie zakretow  -Domykanie z pilota Auto bardzo dobrze utrzymane z pachnacym i czystym wnetrzem, bezpieczne- wyposazone w pelen zestaw poduszek powietrznych. Auto od nowosci w rodzinie. Posiada normalne slady uzytkowania. Zapraszam do kontaktu.Wyswietl numerCena do negocjacji.	['Interfejs Bluetooth', 'Radio', 'System nawigacji satelitarnej', 'Ekran dotykowy', 'Klimatyzacja automatyczna, dwustrefowa', 'Szyberdach szklany - przesuwny i uchylny elektrycz', 'Podlokietniki - przod', 'Kierownica sportowa', 'Czujnik deszczu', 'Elektryczne szyby przednie', 'Wycieraczki', 'Tempomat', 'Kontrola trakcji', 'Lampy doswietlajace zakret', 'ABS', 'ESP']	['Dawid', 'Osoba prywatna', 'Sprzedajacy na OTOMOTO od 2019']	Warszawa, Zoliborz	Volkswagen New Beetle
Prywatne	Tak	Volkswagen	Beetle	2012	103000	11973	Benzyna	105	Manualna	Na przednie kola	Kompakt	2	4	Czerwony		Niemcy	Tak		Uzywane	VIN	https://www.otomoto.pl/osobowe/oferta/volkswagen-beetle-beetle-stan-idealny-nowy-rozrzad-ID6FRruo.html	9600	Sprzedam VW Beetel w stanie idealnym,bardzo zadbany,niski przebieg.Opony wielosezonowe Continental z felgami VW.Bogate wyposazenie.	['Radio', 'Ekran dotykowy', 'Klimatyzacja automatyczna', 'Tapicerka czesciowo skorzana', 'Podgrzewany fotel kierowcy', 'Podgrzewany fotel pasazera', 'Podlokietniki - przod', 'Kierownica skorzana', 'Kierownica sportowa', 'Kierownica ze sterowaniem radia', 'Kierownica wielofunkcyjna', 'Dzwignia zmiany biegow wykonczona skora', 'Elektryczne szyby przednie', 'Tempomat', 'Lampy bi-ksenonowe', 'Kontrola odleglosci z przodu (przy parkowaniu)', 'Kontrola odleglosci z tylu (przy parkowaniu)', 'Lusterka boczne ustawiane elektrycznie', 'Podgrzewane lusterka boczne', 'Kontrola trakcji', 'Dynamiczne swiatla doswietlajace zakrety', 'Swiatla do jazdy dziennej', 'Wspomaganie kierownicy', 'Felgi aluminiowe 17', 'ABS', 'ESP', 'Elektroniczny system rozdzialu sily hamowania', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera', 'Boczna poduszka powietrzna kierowcy', 'Boczne poduszki powietrzne - przod', 'Isofix (punkty mocowania fotelika dzieciecego)']	['Patrycja', 'Osoba prywatna', 'Sprzedajacy na OTOMOTO od 2023']	Salzgitter, salzgitter, Niedersachsen	Volkswagen Beetle 1.2 TSI
Firma	Tak	Volkswagen	New Beetle	2014	86000	14003	Benzyna	160	Manualna	Na przednie kola	Coupe	3	4	Czarny					Uzywane	VIN	https://www.otomoto.pl/osobowe/oferta/volkswagen-new-beetle-navi-xenon-led-klima-ID6FnrA7.html	43800	Auto sprowadzone z Niemiec w bardzo dobrym stanie technicznym, bogata wersja, serwisowany, z malym przebiegiem. Wiecej informacji udzielam tylko telefonicznie.-------------------Firma VISIO zajmuje sie fotografia reklamowa (motoryzacja, domy i inne przedmioty uzytkowe itp. zgodnie z zyczeniem klienta).Niniejsze ogloszenie jest wylacznie informacja handlowa i nie stanowi oferty w mysl art. 66. SS1. Kodeksu Cywilnego.Firma Visio nie odpowiada za ewentualne bledy lub nieaktualnosc ogloszenia.W przypadku kupna, umowa kupna-sprzedazy zawierana jest miedzy kupujacym, a wlascicielem oferowanego przedmiotu(np. samochodu, motoru), bez posrednictwa mojej firmy.	['Interfejs Bluetooth', 'Radio', 'Zestaw glosnomowiacy', 'Gniazdo USB', 'System nawigacji satelitarnej', 'Ekran dotykowy', 'Klimatyzacja manualna', 'Tapicerka materialowa', 'Podgrzewany fotel kierowcy', 'Podgrzewany fotel pasazera', 'Podlokietniki - przod', 'Kierownica skorzana', 'Kierownica wielofunkcyjna', 'Czujnik deszczu', 'Elektryczne szyby przednie', 'Elektryczne szyby tylne', 'Wycieraczki', 'Tempomat', 'Kontrola odleglosci z przodu (przy parkowaniu)', 'Kontrola odleglosci z tylu (przy parkowaniu)', 'Podgrzewane lusterka boczne', 'Kontrola trakcji', 'Czujnik zmierzchu', 'Spryskiwacze reflektorow', 'Swiatla do jazdy dziennej', 'Swiatla do jazdy dziennej diodowe LED', 'Lampy przeciwmgielne', 'Oswietlenie drogi do domu', 'Wspomaganie kierownicy', 'Felgi aluminiowe 18', 'ABS', 'ESP', 'Elektroniczny system rozdzialu sily hamowania', 'System wspomagania hamowania', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera', 'Kurtyny powietrzne - przod', 'Poduszka powietrzna centralna', 'Boczna poduszka powietrzna kierowcy', 'Boczne poduszki powietrzne - przod', 'Isofix (punkty mocowania fotelika dzieciecego)']	['Visio-Fotografia', 'Sprzedajacy profesjonalny', 'Sprzedajacy na OTOMOTO od 2017']	Gubin - 66-620 Gubin, krosnienski, Lubuskie (Polska)	Volkswagen New Beetle
Firma	Tak	Volkswagen	Beetle	2011	154000	11973	Benzyna	105	Manualna	Na przednie kola	Coupe	2	4	Czarny		Polska		Tak	Uzywane	VIN	https://www.otomoto.pl/osobowe/oferta/volkswagen-beetle-ID6FvlSY.html	34900	Samochod z Nasza 3 miesieczna gwarancja !!!! Gwarancja obejmuje:- jednostki napedowe - silnik,- mechanizmy roznicowe,- waly napedowe,- obudowy - skrzyni biegow, silnikow, mostow, - przednie i tylne zawieszenie - amortyzatory, sprezyny itp.- zawieszenie hydro-pneumatyczne,- kola zamachowe dwumasowe.Informacje umieszczone na stronie internetowej sluza jedynie celom informacyjnym.Nie stanowia oferty w rozumieniu przepisow Kodeksu Cywilnego oraz opisu towaru ani zapewnienia w rozumieniu art. 4 Ustawy z dnia 27 lipca 2002 roku o szczegolnych warunkach sprzedazy konsumenckiej jak rowniez art 66SS1 k.c Indywidualne uzgodnienie wlasciwosci i specyfikacji pojazdu nastepuje w umowie sprzedazy.sprzedajacy nie odpowiada za ewentualne bledy lub nie aktualnoSC ogloszenia...Auto Salon G&J	['Interfejs Bluetooth', 'Radio', 'Zestaw glosnomowiacy', 'Gniazdo USB', 'System naglosnienia', 'Ekran dotykowy', 'Klimatyzacja automatyczna', 'Tapicerka materialowa', 'Podgrzewany fotel kierowcy', 'Podgrzewany fotel pasazera', 'Podlokietniki - przod', 'Kierownica skorzana', 'Kierownica ze sterowaniem radia', 'Kierownica wielofunkcyjna', 'Dzwignia zmiany biegow wykonczona skora', 'Elektryczne szyby przednie', 'Wycieraczki', 'Tempomat', 'Kontrola odleglosci z przodu (przy parkowaniu)', 'Kontrola odleglosci z tylu (przy parkowaniu)', 'Lusterka boczne ustawiane elektrycznie', 'Podgrzewane lusterka boczne', 'Ogranicznik predkosci', 'Kontrola trakcji', 'Wspomaganie ruszania pod gore- Hill Holder', 'Lampy doswietlajace zakret', 'Swiatla do jazdy dziennej', 'Lampy przeciwmgielne', 'Elektroniczna kontrola cisnienia w oponach', 'Wspomaganie kierownicy', 'Felgi aluminiowe 16', 'ABS', 'ESP', 'Elektroniczny system rozdzialu sily hamowania', 'System wspomagania hamowania', 'Poduszka powietrzna kierowcy', 'Poduszka powietrzna pasazera', 'Kurtyny powietrzne - przod', 'Boczna poduszka powietrzna kierowcy', 'Boczne poduszki powietrzne - przod', 'Isofix (punkty mocowania fotelika dzieciecego)']	['G J', 'Sprzedajacy profesjonalny', 'Bardzo sprawnie odpowiada', 'Sprzedajacy na OTOMOTO od 2009']	OBORNICKA 239 - 60-650 Poznan, Wielkopolskie (Polska)	Volkswagen Beetle 1.2 TSI Design
